id,address_type,street,street_additional,city,region,country,postal_code,delivery_instructions,business_id,office_id
21057,mailing,41-10771 GILBERT RD,,RICHMOND,BC,CA,V7E 6E6,,2592,2325
21058,delivery,41-10771 GILBERT RD,,RICHMOND,BC,CA,V7E 6E6,,2592,2325
