identifier,id,filing_date,state,hasdraft
BC0048578,150710,2024-08-28 19:55:17.334498+00:00,ACTIVE,False
BC0092828,150489,2024-08-02 20:01:38.990942+00:00,ACTIVE,False
BC0870649,111857,2021-03-31 17:55:40.161915+00:00,ACTIVE,False
BC0870650,111869,2021-04-01 01:28:18.296883+00:00,ACTIVE,False
BC0870651,111876,2021-04-01 21:18:35.695633+00:00,ACTIVE,False
BC0870655,111914,2021-04-13 18:58:33.952831+00:00,ACTIVE,False
BC0870658,111943,2021-04-19 20:37:46.034822+00:00,ACTIVE,False
BC0870659,111955,2021-04-20 20:12:30.820444+00:00,ACTIVE,False
BC0870660,111985,2021-04-22 19:26:58.825984+00:00,ACTIVE,False
BC0870661,111993,2021-04-26 22:31:38.010117+00:00,ACTIVE,False
